cityId;codeIataCity;codeIso2Country;nameCity;latitudeCity;longitudeCity;timezone;GMT;nameTranslations;popularity;geonameId;;
1;AAA;PF;Anaa;-17,05;-145,41667;Pacific/Tahiti;-10;Anaa,Anaa,????,?????,??;0;0;;
2;AAB;AU;Arrabury;-26,7;141,04167;Australia/Brisbane;10;Arrabury,Arrabury,????????,????;0;0;;
3;AAC;EG;El Arish;31,133333;33,75;Africa/Cairo;2;El Arish,???-????,Al Arish,???;0;361546;;
4;AAE;DZ;Annaba;36,821392;7,811857;Africa/Algiers;1;Annaba,Annaba,Annaba,Annaba,Annaba,??????,???????,Annaba,???;0;2506999;;
5;AAF;US;Apalachicola;29,733334;-84,98333;America/Chicago;-6;Apalachicola,???????????,Apalachicola,??????;0;4167695;;
6;AAG;BR;Arapoti;-24,103611;-49,79;America/Sao_Paulo;-2;Arapoti,???????,Arapoti,????;0;3471795;;
7;AAH;DE;Aachen;50,7754385;6,0815102;Europe/Berlin;1;Aachen,????,Aachen,??;4;3247449;;
8;AAI;BR;Arraias;-12,916667;-46,933334;America/Araguaina;-2;Arraias,??????,????;0;0;;
9;AAJ;SR;Awaradam;3,9;-55,36667;America/Paramaribo;-3;Awaradam,????????,Cayana;0;0;;
10;AAK;KI;Aranuka;0,166667;173,58333;Pacific/Tarawa;12;Aranuka,???????,????;0;0;;
11;AAL;DK;Aalborg;57,028811;9,917771;Europe/Copenhagen;1;Aalborg,Aalborg,Aalborg,Aalborg,Aalborg,???????,????????,Aalborg,???;0;2624886;;
12;AAM;ZA;Mala Mala;-24,8;31,533333;Africa/Johannesburg;2;Mala Mala,???? ????,????;0;954955;;
13;AAN;AE;Al Ain;24,2075;55,7447222;Asia/Dubai;4;Al-Ain,Al Ain,Al Ain,Al Ain,Al Ain,???-???,??????,Al Ain,??;0;292913;;
14;AAO;VE;Anaco;9,431944;-64,46389;America/Caracas;-5;Anaco,Anaco,?????,???;0;3486270;;
15;AAQ;RU;Anapa;44,9;37,316666;Europe/Moscow;3;Anapa,Anapa,Anapa,Anapa,Anapa,?????,??????,Anapa,???;4;582182;;
16;AAR;DK;Aarhus;56,162939;10,203921;Europe/Copenhagen;1;;8;2611664;;
17;AAS;ID;Apalapsili;-3,916667;139,25;Asia/Jayapura;9;Apalapsili,Apalapsili,??????????,??????;0;0;;
18;AAT;CN;Altay;47,750362;88,08444;Asia/Shanghai;8;Altay,Altay,Altay,Altay,Altay,?????,?????,Altay,???;0;1529651;;
19;AAU;WS;Asau;-13,458333;-172,6;Pacific/Apia;14;Asau,Asau,????;0;4035092;;
20;AAV;PH;Surallah;6,333333;124,76667;Asia/Manila;8;Alah,Surallah,????????,??;0;0;;
21;AAW;PK;Abbottabad;34,2;73,25;Asia/Karachi;5;Abbottabad,??????????,?????;0;0;;
22;AAX;BR;Araxa;-19,568056;-46,92917;America/Sao_Paulo;-2;Araxa,Araxa,Araxa,Araxa,Araxa,?????,??????,Araxa,???;0;3471691;;
23;AAY;YE;Al Ghaydah;16,19596;52,173256;Asia/Aden;3;Al Ghaydah,Al Ghaydah,Al Ghaydah,Al Ghaydah,Al Ghaydah,??? ???????,???????????,Al Ghaydah,???;0;0;;
24;AAZ;GT;Quetzaltenango;14,87;-91,5;America/Guatemala;-6;Quetzaltenango,Quetzaltenango,?????????????,??????;0;3599699;;
25;ABA;RU;Abakan;53,716667;91,5;Asia/Krasnoyarsk;7;Abakan,Abakan,Abak;0;1512236;;
26;ABB;NG;Asaba;51,666668;-1,283333;Europe/London;0;Asaba,Asaba,Asaba,Asaba,Asaba,?????????????????????;0;2640729;;
27;ABC;ES;Albacete;38,9976516;-1,8600701;Europe/Madrid;1;Albacete,Albacete,?????????,?????????,Albacete;0;2522258;;
28;ABD;IR;Abadan;30,363905;48,226597;Asia/Tehran;4;Abadan,Abadan,??????,??????,Abadan,???;0;0;;
29;ABE;US;Allentown;40,651573;-75,434364;America/New_York;-5;Allentown/Bethlehem/Easton,Allentown,Allentown,Allentown,Allentown,?????????,???????????,Allentown,???;0;5178127;;
30;ABF;KI;Abaiang;1,670833;173,30417;Pacific/Tarawa;12;Abaiang,Abaiang,???????,Abaiang Atoll,???;0;0;;
31;ABG;AU;Abingdon;-17,666668;143,2;Australia/Brisbane;10;Abingdon,Abingdon,????????,???;0;0;;
32;ABH;AU;Alpha;-23,65;146,63333;Australia/Brisbane;10;Alpha,Alpha,?????,???;0;0;;
33;ABI;US;Abilene;32,4487364;-99,7331439;America/Chicago;-6;Abilene,Abilene,Abilene,Abilene,Abilene,??????,???????? ??????????,Abilene,???;0;4669635;;
34;ABJ;CI;Abidjan;5,254879;-3,933015;Africa/Abidjan;0;Abidjan,Abidjan,Abiy;6;2293538;;
35;ABK;ET;Kabri Dar;6,733889;44,26611;Africa/Addis_Ababa;3;Kabri Dar,Kabri Dar,Kabri Dar,Kabri Dar,Kabri Dar,????? ???,?????????,Kabri Dar,?????;0;0;;
36;ABL;US;Ambler;67,0875;-157,84584;America/Anchorage;-9;Ambler,Ambler,Ambler,Ambler,Ambler,??????,?????????,Ambler,???;0;0;;
37;ABM;AU;Bamaga;-10,942619;142,45033;Australia/Brisbane;10;Bamaga,Bamaga,Bamaga,Bamaga,Bamaga,??????,???????,Bamaga,???;0;2177023;;
38;ABN;SR;Albina;5,5;-54,083332;America/Paramaribo;-3;Albina,Albina,??????;0;3384792;;
39;ABO;CI;Aboisso;5,433333;-3,216667;Africa/Abidjan;0;Aboisso,???????;0;0;;
40;ABP;PG;Atkamba;-6,066667;141,1;Pacific/Port_Moresby;10;Atkamba,Atkamba,???????;0;0;;
41;ABQ;US;Albuquerque;35,049625;-106,617195;America/Denver;-7;Albuquerque,Albuquerque,Alburquerque,Albuquerque,Albuquerque,??????????,????????????,Albuquerque,?????;0;5454711;;
42;ABR;US;Aberdeen;45,4525;-98,42611;America/Chicago;-6;Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen,???????,??????????,Aberdeen,???;0;5225857;;
43;ABS;EG;Abu Simbel;22,367567;31,609774;Africa/Cairo;2;Abu Simbel,Abu Simbel,Abu Simbel,Abou Simbel,Abu Simbel,??? ??????,??????????,Abu Simbel,?????;0;362041;;
44;ABT;SA;Al-Baha;20,29401;41,64002;Asia/Riyadh;3;Al-Baha,Al-Baha,Al-Baha,Al-Baha,Al-Baha,???-????,???-?????,Al-Baha;0;0;;
45;ABU;ID;Atambua;-9,133333;124,88333;Asia/Makassar;8;Atambua,Atambua,???????,?????????,????;0;0;;
46;ABV;NG;Abuja;9,004614;7,270447;Africa/Lagos;1;Abuja,Abuja,Abuja,Abuja,Abuja,??????,??????,Abuja,???;0;0;;
47;ABW;PG;Abau;-10,183333;148,7;Pacific/Port_Moresby;10;Abau,Abau,????;0;0;;
48;ABX;AU;Albury;-36,069626;146,95453;Australia/Sydney;11;Albury,Albury,Albury,Albury,Albury,??????,????????,Albury,???;0;2178174;;
49;ABY;US;Albany;31,5785074;-84,155741;America/New_York;-5;Albany,Albany,Albany,Albany,Albany,??????,???????,Albany,????;0;4179320;;
50;ABZ;GB;Aberdeen;57,1474915;-2,095397;Europe/London;0;Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen,???????,??????????,Aberdeen,???;32;2657832;;
51;ACA;MX;Acapulco;16,762403;-99,75459;America/Mexico_City;-6;Acapulco,Acapulco,Acapulco,Acapulco,Acapulco,?????????,?????????,Acapulco,?????;0;3533462;;
52;ACB;US;Bellaire;44,983334;-85,21667;America/Detroit;-5;Bellaire,??????,???;0;4985583;;
53;ACC;GH;Accra;5,60737;-0,171769;Africa/Accra;0;Accra,Accra,Accra,Accra,Accra,?????,??????,Accra,???;0;2306104;;
54;ACD;CO;Acandi;8,516667;-77,3;America/Bogota;-5;Acandi,Acandi,??????,???????;0;3665580;;
55;ACE;ES;Arrecife;28,950668;-13,609059;Atlantic/Canary;0;Lanzarote,Arrecife,Lanzarote,Lanzarote,Lanzarote,???????,??????????,Lanzarote,????;584;6355013;;
56;ACH;CH;Altenrhein;47,483334;9,566667;Europe/Zurich;1;Altenrhein,Altenrhein,Altenrhein,Altenrhein,Altenrhein,???????????,?????????,Altenrhein,?????;0;2661775;;
57;ACI;GG;Alderney;49,709347;-2,215369;Europe/London;0;Alderney,Alderney,Alderney,Alderney,Alderney,???????,????????????,Alderney,????;0;6692041;;
58;ACJ;LK;Anuradhapura;8,35;80,38333;Asia/Colombo;6;Anuradhapura,????????????,??????;0;1251081;;
59;ACK;US;Nantucket;41,256668;-70,05972;America/New_York;-5;Nantucket,Nantucket,Nantucket,Nantucket,Nantucket,????????,??????????,Nantucket,????;0;4944903;;
60;ACL;CO;Aguaclara;4,75;-73;America/Bogota;-5;Aguaclara,Aguaclara,?????????;0;0;;
61;ACM;CO;Arica;-2;-71,833336;America/Bogota;-5;Arica,Arica,?????;0;0;;
62;ACN;MX;Acuna;29,3;-100,916664;America/Matamoros;-6;Ciudad Acuna,Acuna,??????,????;0;3992619;;
63;ACP;IR;Sahand;37,347244;46,145115;Asia/Tehran;4;Sahand,Sahand,??????,???????;0;0;;
64;ACR;CO;Araracuara;-0,383333;-72,3;America/Bogota;-5;Araracuara,Araracuara,Araracuara,Araracuara,Araracuara,??????????,???????????;0;0;;
65;ACS;RU;Achinsk;56,266666;90,566666;Asia/Krasnoyarsk;8;Achinsk,??????,?????????,Ascona;0;0;;
66;ACT;US;Waco;31,549333;-97,1466695;America/Chicago;-6;Waco,Waco,Waco,Waco,Waco,????,????,Waco,??;0;4739526;;
67;ACU;PA;Achutupo;9,576389;-79,72444;America/Panama;-5;Achutupo,Achutupo,Achutupo,Achutupo,Achutupo,???????,?????????,????;0;0;;
68;ACV;US;Arcata;40,970913;-124,106926;America/Los_Angeles;-8;Arcata,Arcata,Arcata,Arcata,Arcata,??????,????????,Arcata,???;0;5558953;;
69;ACX;CN;Xingyi;25,085556;104,95944;Asia/Shanghai;8;Xingyi,Xingyi,Xingyi,Xingyi,Xingyi,???????,??????,Xingyi,??;0;0;;
70;ACZ;IR;Zabol;31,087694;61,542244;Asia/Tehran;4;Zabol,Zabol,??????,?????;0;0;;
71;ADA;TR;Adana;37;35,3213333;Europe/Istanbul;2;Adana,Adana,Adana,Adana,Adana,?????,??????,Adana,???;0;325363;;
72;ADC;PG;Andakombe;-7,133333;145,73334;Pacific/Port_Moresby;10;Andakombe,Andakombe,?????????;0;2100827;;
73;ADD;ET;Addis Ababa;8,983759;38,7959;Africa/Addis_Ababa;3;Addis Abeba,Addis Ababa,Addis Abeba,Addis Abeba,Addis Abeba,?????-?????,????????????,Addis Ababa,??????;0;344979;;
74;ADE;YE;Aden;12,826116;45,037537;Asia/Aden;3;Aden,Aden,Ad;0;415189;;
75;ADF;TR;Adiyaman;37,75;38,266666;Europe/Istanbul;2;Adıyaman,Adiyaman,Adiyaman,Ad?yaman,Adiyaman,???????,??????????,????;0;325330;;
76;ADG;US;Adrian;41,9;-84,03333;America/Indiana/Indianapolis;-5;Adrian,??????,Adrian,????;0;4917712;;
