iata;name
AAQ;Vityazevo
ABA;Abakan Airport
ACS;Achinsk Airport
ADH;Aldan Airport
AER;Sochi Intl.
AMV;Amderma Airport
ARH;Talagi
ASF;Astrakhan Airport
BAX;Barnaul Airport
BCX;Beloretsk Airport
BQG;Bogorodskoye Airport
BQJ;Batagay Airport
BQS;Ignatyevo
BTK;Bratsk Airport
BVV;Burevestnik AFB
BWO;Balakovo Airport
BZK;Bryansk Airport
CEE;Cherepovets Airport
CEK;Balandino
CKH;Chokurdakh Airport
CKL;Chkalovsky Airport
CSH;Solovki
CSY;Cheboksary Airport
CYX;Chersky Airport
DEE;Mendeleyevo
DKS;Dikson Airport
DME;Domodedovo
DYR;Ugolny
EGO;Belgorod Airport
EIE;Yeniseysk Airport
EIK;Yeysk Airport
EKS;Shakhtersk Airport
ERG;Yerbogachen Airport
ESL;Elista Airport
EYK;Beloyarsky Airport
EZV;Berezovo Airport
GDG;Magdagachi Airport
GDX;Sokol
GDZ;Gelendzhik Airport
GOJ;Strigino
GRV;Grozny Airport
GVN;May-Gatka
HMA;Khanty-Mansiysk Airport
HTA;Kadala
HTG;Khatanga Airport
IAA;Igarka Airport
IAR;Tunoshna
IGT;Sleptsovskaya
IJK;Izhevsk Airport
IKS;Tiksi Airport
IKT;Irkutsk Airport
INA;Inta Airport
IRM;Igrim Airport
IWA;Yuzhny
JOK;Yoshkar-Ola Airport
KCK;Kirensk Airport
KEJ;Kemerovo Airport
KGD;Khrabrovo
KGP;Kogalym Airport
KHV;Novy
KJA;Krasnoyarsk Airport
KKQ;Krasnoselkup Airport
KLD;Migalovo
KLF;Grabtsevo
KMW;Kostroma Airport
KRO;Kurgan Airport
KRR;Pashkovsky
KSZ;Kotlas Airport
KUF;Kurumoch Intl.
KVK;Khibiny
KVR;Kavalerovo Airport
KVX;Pobedilovo
KXK;Khurba
KYZ;Kyzyl Airport
KZN;Kazan Intl.
LDG;Leshukonskoye Airport
LED;Pulkovo
LNX;Smolensk Airport
LPK;Lipetsk Airport
MCX;Uytash
MJZ;Mirny Airport
MMK;Murmansk Airport
MQF;Magnitogorsk Airport
MRV;Mineralnye Vody Airport
NAL;Nalchik Airport
NBC;Begishevo
NEF;Neftekamsk Airport
NER;Chulman
NFG;Nefteyugansk Airport
NGK;Nogliki Airport
NJC;Nizhnevartovsk Airport
NNM;Naryan-Mar Airport
NOI;Krymska
NOJ;Noyabrsk Airport
NOZ;Novokuznetsk Airport
NSK;Alykel
NUX;Novy Urengoy Airport
NVR;Novgorod Airport
NYA;Nyagan Airport
NYM;Nadym Airport
ODO;Bodaybo Airport
OEL;Yuzhny
OGZ;Beslan
OHH;Novostroyka
OHO;Okhotsk Airport
OKT;Oktiabrsky Airport
OMS;Tsentralny
OSW;Orsk Airport
OVB;Tolmachevo
OVS;Sovetsky Airport
PEE;Bolshoye Savino
PES;Besovets
PEX;Pechora Airport
PEZ;Ternovka
PKC;Yelizovo
PKV;Pskov Airport
PVS;Provideniya Bay
PWE;Pevek Airport
PYJ;Polyarny Airport
RAT;Raduzhny Airport
REN;Tsentralny
RGK;Gorno-Altaysk Airport
ROV;Platov
RTW;Tsentralny
RYB;Staroselye
RZN;Turlatovo
SCW;Syktyvkar Airport
SGC;Surgut Airport
SKX;Saransk Airport
SLY;Salekhard Airport
STW;Shpakovskoye
SVO;Sheremetyevo
SVX;Koltsovo
SWT;Strezhevoy Airport
TBW;Donskoye
TGK;Taganrog Airport
TGP;Podkamennaya Tunguska
THX;Turukhansk Airport
TJM;Roshchino
TLY;Plastun Airport
TOF;Bogashevo
TOX;Tobolsk Airport
TQL;Tarko-Sale Airport
TYA;Klokovo
TYD;Tynda Airport
UCT;Ukhta Airport
UEN;Urengoy Airport
UFA;Ufa Airport
UIK;Ust-Ilimsk Airport
UKX;Ust-Kut Airport
ULK;Lensk Airport
ULV;Baratayevka
ULY;Vostochny
URJ;Uray Airport
URS;Vostochny
USK;Usinsk Airport
UTS;Ust-Tsilma Airport
UUA;Bugulma Airport
UUD;Mukhino
UUS;Khomutovo
VGD;Vologda Airport
VKO;Vnukovo
VKT;Vorkuta Airport
VLK;Volgodonsk Airport
VLU;Velikiye Luki Airport
VOG;Gumrak
VOZ;Chertovitskoye
VRI;Varandey Airport
VUS;Veliky Ustyug Airport
VVO;Knevichi
YKS;Yakutsk Airport
YMK;Mys-Kamenny Airport
ZZO;Zonalnoye Airport
GSV;Gagarin
ITU;Iturup
NLI;Nikolayevsk-na-Amure Airport
OSF;Ostafyevo
SBT;Sabetta Intl.
TLK;Talakan Airport
ZIA;Zhukovsky Airport
